市区町村コード,Level1_Name,Level2_Name,都道府県,市区町村,市区町村詳細,緯度,経度
20412,長野県下伊那郡,長野県下伊那郡売木村,長野県,下伊那郡,売木村,35.271046,137.711313
20413,長野県下伊那郡,長野県下伊那郡天龍村,長野県,下伊那郡,天龍村,35.276227,137.85414
20414,長野県下伊那郡,長野県下伊那郡泰阜村,長野県,下伊那郡,泰阜村,35.377523,137.846015
20415,長野県下伊那郡,長野県下伊那郡喬木村,長野県,下伊那郡,喬木村,35.513682,137.8737
20416,長野県下伊那郡,長野県下伊那郡豊丘村,長野県,下伊那郡,豊丘村,35.551439,137.895975
20417,長野県下伊那郡,長野県下伊那郡大鹿村,長野県,下伊那郡,大鹿村,35.578222,138.034017
20422,長野県木曽郡,長野県木曽郡上松町,長野県,木曽郡,上松町,35.784076,137.694069
20423,長野県木曽郡,長野県木曽郡南木曽町,長野県,木曽郡,南木曽町,35.603756,137.609016
20425,長野県木曽郡,長野県木曽郡木祖村,長野県,木曽郡,木祖村,35.936437,137.783301
20429,長野県木曽郡,長野県木曽郡王滝村,長野県,木曽郡,王滝村,35.809395,137.550969
20430,長野県木曽郡,長野県木曽郡大桑村,長野県,木曽郡,大桑村,35.682911,137.664918
20432,長野県木曽郡,長野県木曽郡木曽町,長野県,木曽郡,木曽町,35.842431,137.691508
20446,長野県東筑摩郡,長野県東筑摩郡麻績村,長野県,東筑摩郡,麻績村,36.456089,138.045289
20448,長野県東筑摩郡,長野県東筑摩郡生坂村,長野県,東筑摩郡,生坂村,36.425248,137.927383
20450,長野県東筑摩郡,長野県東筑摩郡山形村,長野県,東筑摩郡,山形村,36.168028,137.879155
20451,長野県東筑摩郡,長野県東筑摩郡朝日村,長野県,東筑摩郡,朝日村,36.12355,137.866133
20452,長野県東筑摩郡,長野県東筑摩郡筑北村,長野県,東筑摩郡,筑北村,36.402553,138.011938
20481,長野県北安曇郡,長野県北安曇郡池田町,長野県,北安曇郡,池田町,36.421366,137.874502
20482,長野県北安曇郡,長野県北安曇郡松川村,長野県,北安曇郡,松川村,36.424076,137.854498
20485,長野県北安曇郡,長野県北安曇郡白馬村,長野県,北安曇郡,白馬村,36.69818,137.86185
20486,長野県北安曇郡,長野県北安曇郡小谷村,長野県,北安曇郡,小谷村,36.779067,137.908405
20521,長野県埴科郡,長野県埴科郡坂城町,長野県,埴科郡,坂城町,36.46182,138.180106
20541,長野県上高井郡,長野県上高井郡小布施町,長野県,上高井郡,小布施町,36.697492,138.312037
20543,長野県上高井郡,長野県上高井郡高山村,長野県,上高井郡,高山村,36.679768,138.363255
20561,長野県下高井郡,長野県下高井郡山ノ内町,長野県,下高井郡,山ノ内町,36.744634,138.412596
20562,長野県下高井郡,長野県下高井郡木島平村,長野県,下高井郡,木島平村,36.858406,138.406829
20563,長野県下高井郡,長野県下高井郡野沢温泉村,長野県,下高井郡,野沢温泉村,36.922902,138.440641
20583,長野県上水内郡,長野県上水内郡信濃町,長野県,上水内郡,信濃町,36.806404,138.207113
20588,長野県上水内郡,長野県上水内郡小川村,長野県,上水内郡,小川村,36.617271,137.974724
20590,長野県上水内郡,長野県上水内郡飯綱町,長野県,上水内郡,飯綱町,36.763185,138.254809
20602,長野県下水内郡,長野県下水内郡栄村,長野県,下水内郡,栄村,36.987514,138.577069
21201,岐阜県岐阜市,岐阜県岐阜市,岐阜県,岐阜市,NA,35.423298,136.760654
21202,岐阜県大垣市,岐阜県大垣市,岐阜県,大垣市,NA,35.359384,136.61275
21203,岐阜県高山市,岐阜県高山市,岐阜県,高山市,NA,36.146124,137.252173
21204,岐阜県多治見市,岐阜県多治見市,岐阜県,多治見市,NA,35.3328,137.132077
21205,岐阜県関市,岐阜県関市,岐阜県,関市,NA,35.495738,136.917842
21206,岐阜県中津川市,岐阜県中津川市,岐阜県,中津川市,NA,35.487548,137.500509
21207,岐阜県美濃市,岐阜県美濃市,岐阜県,美濃市,NA,35.54477,136.90754
21208,岐阜県瑞浪市,岐阜県瑞浪市,岐阜県,瑞浪市,NA,35.361712,137.254587
21209,岐阜県羽島市,岐阜県羽島市,岐阜県,羽島市,NA,35.31991,136.703349
21210,岐阜県恵那市,岐阜県恵那市,岐阜県,恵那市,NA,35.449314,137.412808
21211,岐阜県美濃加茂市,岐阜県美濃加茂市,岐阜県,美濃加茂市,NA,35.440242,137.015664
21212,岐阜県土岐市,岐阜県土岐市,岐阜県,土岐市,NA,35.3525,137.183202
21213,岐阜県各務原市,岐阜県各務原市,岐阜県,各務原市,NA,35.398869,136.848264
21214,岐阜県可児市,岐阜県可児市,岐阜県,可児市,NA,35.426121,137.061011
21215,岐阜県山県市,岐阜県山県市,岐阜県,山県市,NA,35.506109,136.781372
21216,岐阜県瑞穂市,岐阜県瑞穂市,岐阜県,瑞穂市,NA,35.404094,136.649774
21217,岐阜県飛騨市,岐阜県飛騨市,岐阜県,飛騨市,NA,36.238124,137.186317
